varName;Deutsch;English;useInRule_1;Col5;Col6;Col7;Col8;shortNames;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17
F6000_018;fuﬂl‰ufig zum n‰chsten Theater;walking to the next theater;0;F;6000_018;zum n‰chsten;Theater;Theater;;to the next;Theater;theater;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_019;fuﬂl‰ufig zum n‰chsten Tiergehege;walking to the next animal park;0;F;6000_019;zum n‰chsten;Tiergehege;Tiergehege;;to the next;Animal park;animal park;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_020;fuﬂl‰ufig zur n‰chsten Touristeninformation;walking to the next tourist information;0;F;6000_020;zur n‰chsten;Touristeninformation;Touristeninformation;;to the next;Tourist information;tourist information;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F6000_021;fuﬂl‰ufig zum n‰chsten Veranstaltungsort;walking to the next event location;0;F;6000_021;zum n‰chsten;Veranstaltungsort;Veranstaltungsort;;to the next;Event location;event location;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_022;fuﬂl‰ufig zum n‰chsten Weihnachtsmarkt;walking to the next christmas market;0;F;6000_022;zum n‰chsten;Weihnachtsmarkt;Weihnachtsmarkt;;to the next;Christmas market;christmas market;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_023;fuﬂl‰ufig zur n‰chsten Ausgleichsfl‰che;walking to the next ecological substitution area;0;F;6000_023;zur n‰chsten;Ausgleichsflaeche;Ausgleichsfl‰che;;to the next;Ecological substitution area;ecological substitution area;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F6000_024;fuﬂl‰ufig zum n‰chsten Schutzgebiet;walking to the next protected natural area;0;F;6000_024;zum n‰chsten;Schutzgebiet;Schutzgebiet;;to the next;Protected natural area;protected natural area;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_025;fuﬂl‰ufig zum n‰chsten Hotel/Hostel;walking to the next hotel/hostel;0;F;6000_025;zum n‰chsten;HotelHostel;Hotel/Hostel;;to the next;Hotel/Hostel;hotel/hostel;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_026;fuﬂl‰ufig zum n‰chsten Wellness;walking to the next wellness;0;F;6000_026;zum n‰chsten;Wellness;Wellness;;to the next;Wellness;wellness;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_001;fuﬂl‰ufig zum n‰chsten B‰cker;walking to the next bakery;-0.8;F;7000_001;zum n‰chsten;Baecker;B‰cker;;to the next;Bakery;bakery;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_002;fuﬂl‰ufig zur n‰chsten Bank;walking to the next bank;0;F;7000_002;zur n‰chsten;Bank;Bank;;to the next;Bank;bank;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F7000_003;fuﬂl‰ufig zum n‰chsten Einkaufszentrum/Sonstiges Shopping;walking to the next mall/shopping;-0.8;F;7000_003;zum n‰chsten;EinkaufszentrumSonstigeShopping;Einkaufszentrum/Sonstiges Shopping;;to the next;Mall/Shopping;mall/shopping;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_004;fuﬂl‰ufig zum n‰chsten Friseur;walking to the next hairdresser;0;F;7000_004;zum n‰chsten;Friseur;Friseur;;to the next;Hairdresser;hairdresser;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_005;fuﬂl‰ufig zum n‰chsten Geldautomat;walking to the next atm;0;F;7000_005;zum n‰chsten;Geldautomat;Geldautomat;;to the next;ATM;atm;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_006;fuﬂl‰ufig zum n‰chsten Kiosk;walking to the next kiosk;0;F;7000_006;zum n‰chsten;Kiosk;Kiosk;;to the next;Kiosk;kiosk;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_007;fuﬂl‰ufig zur n‰chsten Post;walking to the next post office;0;F;7000_007;zur n‰chsten;Post;Post;;to the next;Post office;post office;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F7000_008;fuﬂl‰ufig zur n‰chsten Reinigung;walking to the next cleaning service;0;F;7000_008;zur n‰chsten;Reinigung;Reinigung;;to the next;Cleaning service;cleaning service;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F7000_009;fuﬂl‰ufig zum n‰chsten Schuster/Schl¸sseldienst;walking to the next shoemaker/locksmith;0;F;7000_009;zum n‰chsten;SchusterSchluesseldienst;Schuster/Schl¸sseldienst;;to the next;Shoemaker/Locksmith;shoemaker/locksmith;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_010;fuﬂl‰ufig zum n‰chsten Wochenmarkt;walking to the next weeky market;-0.8;F;7000_010;zum n‰chsten;Wochenmarkt;Wochenmarkt;;to the next;Weeky market;weeky market;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_011;fuﬂl‰ufig zum n‰chsten Lebensmittelgesch‰ft;walking to the next grocery stores;-0.8;F;7000_011;zum n‰chsten;Lebensmittelgeschaeft;Lebensmittelgesch‰ft;;to the next;Grocery stores;grocery stores;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_012;fuﬂl‰ufig zum n‰chsten Anwalt;walking to the next lawyer;0;F;7000_012;zum n‰chsten;Anwalt;Anwalt;;to the next;Lawyer;lawyer;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_013;fuﬂl‰ufig zum n‰chsten Finanzberater;walking to the next financial consultant;0;F;7000_013;zum n‰chsten;Finanzberater;Finanzberater;;to the next;Financial consultant;financial consultant;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_014;fuﬂl‰ufig zum n‰chsten Tierarzt;walking to the next vetinarian;0;F;7000_014;zum n‰chsten;Tierarzt;Tierarzt;;to the next;Vetinarian;vetinarian;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_015;fuﬂl‰ufig zum n‰chsten Rotlicht;walking to the next red light;0;F;7000_015;zum n‰chsten;Rotlicht;Rotlicht;;to the next;Red light;red light;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_016;fuﬂl‰ufig zum n‰chsten Gl¸cksspiel;walking to the next gambling;0;F;7000_016;zum n‰chsten;Gluecksspiel;Gl¸cksspiel;;to the next;Gambling;gambling;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_017;fuﬂl‰ufig zur n‰chsten ÷ffentliche Toiletten;walking to the next public toilete;0;F;7000_017;zur n‰chsten;OeffentlicheToiletten;÷ffentliche Toiletten;;to the next;Public toilete;public toilete;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F7000_018;fuﬂl‰ufig zur n‰chsten Videothek;walking to the next video store;0;F;7000_018;zur n‰chsten;Videothek;Videothek;;to the next;Video store;video store;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F7000_019;fuﬂl‰ufig zur n‰chsten Fahrschule;walking to the next driving school;0;F;7000_019;zur n‰chsten;Fahrschule;Fahrschule;;to the next;Driving school;driving school;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F7000_020;fuﬂl‰ufig zum n‰chsten Nagelstudio/Kosmetik;walking to the next nail bar/cosmetics;0;F;7000_020;zum n‰chsten;NagelstudioKosmetik;Nagelstudio/Kosmetik;;to the next;Nail bar/cosmetics;nail bar/cosmetics;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_021;fuﬂl‰ufig zum n‰chsten Handwerk;walking to the next handcraft;0;F;7000_021;zum n‰chsten;HandwerkVerschiedene;Handwerk;;to the next;Handcraft;handcraft;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_022;fuﬂl‰ufig zum n‰chsten Autohandel;walking to the next car dealer;0;F;7000_022;zum n‰chsten;Autohandel;Autohandel;;to the next;Car dealer;car dealer;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_023;fuﬂl‰ufig zur n‰chsten Bestattung;walking to the next motician;0;F;7000_023;zur n‰chsten;Bestattung;Bestattung;;to the next;Motician;motician;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F7000_024;fuﬂl‰ufig zum n‰chsten Optiker/Hˆrger‰te;walking to the next optics/hearing devices;0;F;7000_024;zum n‰chsten;OptikerHoergeraete;Optiker/Hˆrger‰te;;to the next;Optics/Hearing devices;optics/hearing devices;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F7000_025;fuﬂl‰ufig zum n‰chsten Schneider;walking to the next tailor;0;F;7000_025;zum n‰chsten;Schneider;Schneider;;to the next;Tailor;tailor;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F8000_001;fuﬂl‰ufig zur n‰chsten Untersuchungsgebiet;walking to the next study area;0;F;8000_001;zur n‰chsten;Untersuchungsgebiet;Untersuchungsgebiet;;to the next;Study area;study area;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F8000_002;fuﬂl‰ufig zur n‰chsten Kommune;walking to the next municipality;0;F;8000_002;zur n‰chsten;Kommune;Kommune;;to the next;Municipality;municipality;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F8000_003;fuﬂl‰ufig zum n‰chsten Postleitzahlgebiet;walking to the next zip code region;0;F;8000_003;zum n‰chsten;Postleitzahlgebiet;Postleitzahlgebiet;;to the next;ZIP code region;zip code region;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F8000_004;fuﬂl‰ufig zum n‰chsten Stadtteil;walking to the next city district;0;F;8000_004;zum n‰chsten;Stadtteil;Stadtteil;;to the next;City district;city district;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F8000_005;fuﬂl‰ufig zum n‰chsten StatistischeBezirkWahlbezirk;walking to the next statistical/vote district;0;F;8000_005;zum n‰chsten;StatistischeBezirkWahlbezirk;StatistischeBezirkWahlbezirk;;to the next;Statistical/Vote district;statistical/vote district;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F8000_006;fuﬂl‰ufig zur n‰chsten Richtwertzone;walking to the next ground value zone;0;F;8000_006;zur n‰chsten;Richtwertzone;Richtwertzone;;to the next;Ground value zone;ground value zone;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F8000_007;fuﬂl‰ufig zum n‰chsten Quartier;walking to the next city quartet;0;F;8000_007;zum n‰chsten;Quartier;Quartier;;to the next;City quartet;city quartet;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F8000_008;fuﬂl‰ufig zur n‰chsten Bauleitplanung;walking to the next land use planning;0;F;8000_008;zur n‰chsten;Bauleitplanung;Bauleitplanung;;to the next;Land use planning;land use planning;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F8000_009;fuﬂl‰ufig zum n‰chsten Baublock;walking to the next building block;0;F;8000_009;zum n‰chsten;Baublock;Baublock;;to the next;Building block;building block;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F8000_010;fuﬂl‰ufig zur n‰chsten Adresse;walking to the next address;0;F;8000_010;zur n‰chsten;Adresse;Adresse;;to the next;Address;address;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F8000_011;fuﬂl‰ufig zur n‰chsten Adresskoordinate;walking to the next address coordinate;0;F;8000_011;zur n‰chsten;Adresskoordinate;Adresskoordinate;;to the next;Address coordinate;address coordinate;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F8000_012;fuﬂl‰ufig zur n‰chsten Person;walking to the next person;0;F;8000_012;zur n‰chsten;Person;Person;;to the next;Person;person;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F9000_001;fuﬂl‰ufig zur n‰chsten Ampel;walking to the next stop light;0;F;9000_001;zur n‰chsten;Ampel;Ampel;;to the next;Stop light;stop light;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F9000_002;fuﬂl‰ufig zur n‰chsten Dauerbaustelle;walking to the next construction site;0;F;9000_002;zur n‰chsten;Dauerbaustellen;Dauerbaustelle;;to the next;Construction site;construction site;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F9000_003;fuﬂl‰ufig zur n‰chsten Barriere;walking to the next barrier;0;F;9000_003;zur n‰chsten;Barrieren;Barriere;;to the next;Barrier;barrier;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F9000_004;fuﬂl‰ufig zum n‰chsten Fahrradwegenetz;walking to the next bicycle network;0;F;9000_004;zum n‰chsten;Fahrradwegenetz;Fahrradwegenetz;;to the next;Bicycle network;bicycle network;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F9000_005;fuﬂl‰ufig zum n‰chsten Fuﬂ-/Wanderweg;walking to the next pedestrian network;0;F;9000_005;zum n‰chsten;FussWanderwege;Fuﬂ-/Wanderweg;;to the next;Pedestrian network;pedestrian network;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F9000_006;fuﬂl‰ufig zum n‰chsten Liniennetz ÷PNV;walking to the next public transportation network;0;F;9000_006;zum n‰chsten;LiniennetzOePNV;Liniennetz ÷PNV;;to the next;Public transportation network;public transportation network;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F9000_007;fuﬂl‰ufig zum n‰chsten Straﬂennetz;walking to the next streets network;0;F;9000_007;zum n‰chsten;Strassennetz;Straﬂennetz;;to the next;Streets network;streets network;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F9000_008;fuﬂl‰ufig zur n‰chsten Leitung;walking to the next technical line;0;F;9000_008;zur n‰chsten;Leitung;Leitung;;to the next;Technical line;technical line;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F1100_001;fuﬂl‰ufig zur n‰chsten Biogasanlage;walking to the next biogas plant;0;F;1100_001;zur n‰chsten;Biogasanlage;Biogasanlage;;to the next;Biogas plant;biogas plant;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F1100_002;fuﬂl‰ufig zum n‰chsten Blockheizkraftwerk;walking to the next communal heating plant;0;F;1100_002;zum n‰chsten;Blockheizkraftwerk;Blockheizkraftwerk;;to the next;Communal heating plant;communal heating plant;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F1100_003;fuﬂl‰ufig zur n‰chsten Deponie;walking to the next landfill;0;F;1100_003;zur n‰chsten;Deponie;Deponie;;to the next;Landfill;landfill;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F1100_004;fuﬂl‰ufig zur n‰chsten Kl‰rschlammausbringung;walking to the next sludge disposal;0;F;1100_004;zur n‰chsten;Klaerschlammausbringung;Kl‰rschlammausbringung;;to the next;Sludge disposal;sludge disposal;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F1100_005;fuﬂl‰ufig zum n‰chsten Kl‰rwerk;walking to the next waste water treatment plant;0;F;1100_005;zum n‰chsten;Klaerwerk;Kl‰rwerk;;to the next;Waste water treatment plant;waste water treatment plant;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F1100_006;fuﬂl‰ufig zur n‰chsten Kraft-W‰rme-Kopplungsanlagen;walking to the next cogeneration system;0;F;1100_006;zur n‰chsten;Kraftwaermekopplungsanlagen;Kraft-W‰rme-Kopplungsanlagen;;to the next;Cogeneration system;cogeneration system;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F1100_007;fuﬂl‰ufig zur n‰chsten Solaranlage;walking to the next solar energy;0;F;1100_007;zur n‰chsten;Solaranlage;Solaranlage;;to the next;Solar energy;solar energy;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F1100_008;fuﬂl‰ufig zur n‰chsten Pumpstation;walking to the next pumping station;0;F;1100_008;zur n‰chsten;Pumpstation;Pumpstation;;to the next;Pumping station;pumping station;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F1100_009;fuﬂl‰ufig zur n‰chsten Windkraftanlage;walking to the next wind turbine;0;F;1100_009;zur n‰chsten;Windkraftanlage;Windkraftanlage;;to the next;Wind turbine;wind turbine;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F1100_010;fuﬂl‰ufig zum n‰chsten Flieﬂgew‰sser;walking to the next rivers and streams;-0.8;F;1100_010;zum n‰chsten;Fliessgewaesser;Flieﬂgew‰sser;;to the next;Rivers and streams;rivers and streams;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F1100_011;fuﬂl‰ufig zum n‰chsten stehenden Gew‰sser;walking to the next lakes and ponds;-0.8;F;1100_011;zum n‰chsten;StehendeGewaesser;stehenden Gew‰sser;x;to the next;Lakes and ponds;lakes and ponds;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F1100_012;fuﬂl‰ufig zur n‰chsten Landnutzung;walking to the next landuse;0;F;1100_012;zur n‰chsten;Landnutzung;Landnutzung;;to the next;Landuse;landuse;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
B1000_001;per Rad zur n‰chsten Feuerwehr;by bike to the next fire station;0;B;1000_001;zur n‰chsten;Feuerwehr;Feuerwehr;;to the next;Fire station;fire station;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1000_002;per Rad zum n‰chsten Hydrant;by bike to the next hydrant;0;B;1000_002;zum n‰chsten;Hydrant;Hydrant;;to the next;Hydrant;hydrant;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B1000_003;per Rad zum n‰chsten Katastrophenschutz;by bike to the next disaster control;0;B;1000_003;zum n‰chsten;Katastrophenschutz;Katastrophenschutz;;to the next;Disaster control;disaster control;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B1000_004;per Rad zur n‰chsten Polizei;by bike to the next police station;0;B;1000_004;zur n‰chsten;Polizei;Polizei;;to the next;Police station;police station;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1000_005;per Rad zum n‰chsten Rathaus;by bike to the next city hall;0;B;1000_005;zum n‰chsten;Rathaus;Rathaus;;to the next;City hall;city hall;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B1000_006;per Rad zum n‰chsten Recyclinghof/Sammelstelle;by bike to the next recylcing site;0;B;1000_006;zum n‰chsten;RecyclinghofSammelstelle;Recyclinghof/Sammelstelle;;to the next;Recylcing site;recylcing site;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B1000_007;per Rad zur n‰chsten ˆffentlichen Trinkwasserstelle;by bike to the next public drinking water;0;B;1000_007;zur n‰chsten;OeffentlicheTrinkwasserstelle;ˆffentlichen Trinkwasserstelle;x;to the next;Public drinking water;public drinking water;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B2000_001;per Rad zur n‰chsten Apotheke;by bike to the next pharmacy;0;B;2000_001;zur n‰chsten;Apotheke;Apotheke;;to the next;Pharmacy;pharmacy;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B2000_002;per Rad zum n‰chsten Arzt;by bike to the next medical doctor;0;B;2000_002;zum n‰chsten;Arzt;Arzt;;to the next;Medical doctor;medical doctor;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B2000_003;per Rad zum n‰chsten Krankenhaus;by bike to the next hospital;0;B;2000_003;zum n‰chsten;Krankenhaus;Krankenhaus;;to the next;Hospital;hospital;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B2000_004;per Rad zur n‰chsten Pflegeeinrichtung;by bike to the next healthcare center;0;B;2000_004;zur n‰chsten;Pflegeeinrichtung;Pflegeeinrichtung;;to the next;Healthcare center;healthcare center;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B3000_001;per Rad zur n‰chsten Berufsschule;by bike to the next vocational school;0;B;3000_001;zur n‰chsten;Berufsschule;Berufsschule;;to the next;Vocational school;vocational school;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B3000_002;per Rad zum n‰chsten Forschungsinstitut;by bike to the next research facility;0;B;3000_002;zum n‰chsten;Forschungsinstitut;Forschungsinstitut;;to the next;Research facility;research facility;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B3000_003;per Rad zur n‰chsten Schule;by bike to the next school;0;B;3000_003;zur n‰chsten;Schule;Schule;;to the next;School;school;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B3000_004;per Rad zur n‰chsten Hochschule;by bike to the next university;0;B;3000_004;zur n‰chsten;Hochschule;Hochschule;;to the next;University;university;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B3000_005;per Rad zum n‰chsten Kindergarten;by bike to the next kindergarten;0;B;3000_005;zum n‰chsten;Kindergarten;Kindergarten;;to the next;Kindergarten;kindergarten;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B3000_006;per Rad zur n‰chsten Kita;by bike to the next daycare center;0;B;3000_006;zur n‰chsten;Kita;Kita;;to the next;Daycare center;daycare center;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B3000_007;per Rad zur n‰chsten Tagesmutter;by bike to the next daycare parent;0;B;3000_007;zur n‰chsten;Tagesmutter;Tagesmutter;;to the next;Daycare parent;daycare parent;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B3000_008;per Rad zur n‰chsten Volkshochschule;by bike to the next adult education center;0;B;3000_008;zur n‰chsten;Volkshochschule;Volkshochschule;;to the next;Adult education center;adult education center;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B4000_001;per Rad zum n‰chsten Asylbewerberheim;by bike to the next refugee shelter;0;B;4000_001;zum n‰chsten;Asylbewerberheim;Asylbewerberheim;;to the next;Refugee shelter;refugee shelter;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B4000_002;per Rad zum n‰chsten Beratungsstelle/Hilfswerk;by bike to the next social advice center;0;B;4000_002;zum n‰chsten;BeratungsstelleHilfswerk;Beratungsstelle/Hilfswerk;;to the next;Social advice center;social advice center;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B4000_003;per Rad zum n‰chsten Familienzentrum;by bike to the next family center;0;B;4000_003;zum n‰chsten;Familienzentrum;Familienzentrum;;to the next;Family center;family center;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B4000_004;per Rad zum n‰chsten Jugendfreizeithaus;by bike to the next youth center;0;B;4000_004;zum n‰chsten;Jugendfreizeithaus;Jugendfreizeithaus;;to the next;Youth center;youth center;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B4000_005;per Rad zum n‰chsten Seniorentreff;by bike to the next senior citizen center;0;B;4000_005;zum n‰chsten;Seniorentreff;Seniorentreff;;to the next;Senior citizen center;senior citizen center;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B4000_006;per Rad zur n‰chsten Integrationshilfe;by bike to the next integration advice center;0;B;4000_006;zur n‰chsten;Integrationshilfe;Integrationshilfe;;to the next;Integration advice center;integration advice center;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B4000_007;per Rad zum n‰chsten Studentenwohnheim;by bike to the next students dormitory;0;B;4000_007;zum n‰chsten;Studentenwohnheim;Studentenwohnheim;;to the next;Students dormitory;students dormitory;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B4000_008;per Rad zum n‰chsten Verein;by bike to the next association;0;B;4000_008;zum n‰chsten;Verein;Verein;;to the next;Association;association;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B5000_001;per Rad zum n‰chsten Fernbahnhof;by bike to the next train station;0;B;5000_001;zum n‰chsten;Fernbahnhof;Fernbahnhof;;to the next;Train station;train station;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B5000_002;per Rad zum n‰chsten Fernbusbahnhof;by bike to the next bus station;0;B;5000_002;zum n‰chsten;Fernbusbahnhof;Fernbusbahnhof;;to the next;Bus station;bus station;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B5000_003;per Rad zum n‰chsten Flughafen;by bike to the next airpot;0;B;5000_003;zum n‰chsten;Flughafen;Flughafen;;to the next;Airpot;airpot;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B5000_004;per Rad zum n‰chsten PKW-Parkplatz;by bike to the next parking lot;0;B;5000_004;zum n‰chsten;PKWParkplatz;PKW-Parkplatz;;to the next;Parking lot;parking lot;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B5000_005;per Rad zur n‰chsten wichtigen Verkehrsengstelle;by bike to the next important traffic bottleneck;0;B;5000_005;zur n‰chsten;wichtigeVerkehrsengstelle;wichtigen Verkehrsengstelle;x;to the next;Important traffic bottleneck;important traffic bottleneck;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B5000_006;per Rad zur n‰chsten Bushaltestelle;by bike to the next bus stop;0;B;5000_006;zur n‰chsten;Bushaltestelle;Bushaltestelle;;to the next;Bus stop;bus stop;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B5000_007;per Rad zur n‰chsten U-Bahn/Tram-Haltestelle;by bike to the next subway/tram stop;0;B;5000_007;zur n‰chsten;UBahnTramHaltestelle;U-Bahn/Tram-Haltestelle;;to the next;Subway/Tram stop;subway/tram stop;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B5000_008;per Rad zum n‰chsten Fahrradparkplatz;by bike to the next bicycle parking;0;B;5000_008;zum n‰chsten;Fahrradparkplatz;Fahrradparkplatz;;to the next;Bicycle parking;bicycle parking;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B5000_009;per Rad zur n‰chsten Fahrradleihstation;by bike to the next bicycle renting;0;B;5000_009;zur n‰chsten;FahrradLeihstation;Fahrradleihstation;;to the next;Bicycle renting;bicycle renting;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B5000_010;per Rad zur n‰chsten Car Sharing Station;by bike to the next car shring station;0;B;5000_010;zur n‰chsten;CarSharingStation;Car Sharing Station;;to the next;Car shring station;car shring station;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B5000_011;per Rad zum n‰chsten S-/Regional-Bahnhof;by bike to the next regional train station;-0.8;B;5000_011;zum n‰chsten;SundRegionalBahnhof;S-/Regional-Bahnhof;;to the next;Regional train station;regional train station;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B5000_012;per Rad zur n‰chsten Elektroladestation;by bike to the next electric mobility recharge station;0;B;5000_012;zur n‰chsten;Elektroladestation;Elektroladestation;;to the next;Electric mobility recharge station;electric mobility recharge station;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B5000_013;per Rad zur n‰chsten Tankstelle;by bike to the next gas station;0;B;5000_013;zur n‰chsten;Tankstelle;Tankstelle;;to the next;Gas station;gas station;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
